date,sku,product_name,channel,price,volume,cost,promo_flag
2026-03-02,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.97,1557,2.85,0
2026-03-09,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.07,1627,2.85,0
2026-03-16,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.99,1490,2.85,0
2026-03-23,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.05,1468,2.85,0
2026-03-30,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.94,1379,2.85,0
2026-04-06,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.05,1383,2.85,0
2026-04-13,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.0,1530,2.85,0
2026-04-20,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.93,1547,2.85,0
2026-04-27,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.01,1668,2.85,0
2026-05-04,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.02,1356,2.85,0
2026-05-11,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.97,1373,2.85,0
2026-05-18,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.98,1327,2.85,0
2025-05-26,AE-001,Crunchy Bites Chicken 6oz,Petco,9.36,1027,2.85,0
2025-06-02,AE-001,Crunchy Bites Chicken 6oz,Petco,9.35,900,2.85,0
2025-06-09,AE-001,Crunchy Bites Chicken 6oz,Petco,9.36,905,2.85,0
2025-06-16,AE-001,Crunchy Bites Chicken 6oz,Petco,9.44,888,2.85,0
2025-06-23,AE-001,Crunchy Bites Chicken 6oz,Petco,9.44,772,2.85,0
2025-06-30,AE-001,Crunchy Bites Chicken 6oz,Petco,9.45,854,2.85,0
2025-07-07,AE-001,Crunchy Bites Chicken 6oz,Petco,9.43,858,2.85,0
2025-07-14,AE-001,Crunchy Bites Chicken 6oz,Petco,9.41,905,2.85,0
2025-07-21,AE-001,Crunchy Bites Chicken 6oz,Petco,9.51,974,2.85,0
2025-07-28,AE-001,Crunchy Bites Chicken 6oz,Petco,9.36,930,2.85,0
2025-08-04,AE-001,Crunchy Bites Chicken 6oz,Petco,9.5,916,2.85,0
2025-08-11,AE-001,Crunchy Bites Chicken 6oz,Petco,9.37,926,2.85,0
2025-08-18,AE-001,Crunchy Bites Chicken 6oz,Petco,9.43,910,2.85,0
2025-08-25,AE-001,Crunchy Bites Chicken 6oz,Petco,9.51,863,2.85,0
2025-09-01,AE-001,Crunchy Bites Chicken 6oz,Petco,6.61,1659,2.85,1
2025-09-08,AE-001,Crunchy Bites Chicken 6oz,Petco,9.52,929,2.85,0
2025-09-15,AE-001,Crunchy Bites Chicken 6oz,Petco,9.38,895,2.85,0
2025-09-22,AE-001,Crunchy Bites Chicken 6oz,Petco,9.36,956,2.85,0
2025-09-29,AE-001,Crunchy Bites Chicken 6oz,Petco,9.53,920,2.85,0
2025-10-06,AE-001,Crunchy Bites Chicken 6oz,Petco,9.43,1077,2.85,0
2025-10-13,AE-001,Crunchy Bites Chicken 6oz,Petco,9.53,822,2.85,0
2025-10-20,AE-001,Crunchy Bites Chicken 6oz,Petco,9.4,909,2.85,0
2025-10-27,AE-001,Crunchy Bites Chicken 6oz,Petco,9.45,824,2.85,0
2025-11-03,AE-001,Crunchy Bites Chicken 6oz,Petco,7.08,1745,2.85,1
2025-11-10,AE-001,Crunchy Bites Chicken 6oz,Petco,9.52,1234,2.85,0
2025-11-17,AE-001,Crunchy Bites Chicken 6oz,Petco,9.51,1265,2.85,0
2025-11-24,AE-001,Crunchy Bites Chicken 6oz,Petco,8.5,1418,2.85,1
2025-12-01,AE-001,Crunchy Bites Chicken 6oz,Petco,7.08,1721,2.85,1
2025-12-08,AE-001,Crunchy Bites Chicken 6oz,Petco,9.46,1206,2.85,0
2025-12-15,AE-001,Crunchy Bites Chicken 6oz,Petco,9.44,1215,2.85,0
2025-12-22,AE-001,Crunchy Bites Chicken 6oz,Petco,9.38,1284,2.85,0
2025-12-29,AE-001,Crunchy Bites Chicken 6oz,Petco,9.47,1212,2.85,0
2026-01-05,AE-001,Crunchy Bites Chicken 6oz,Petco,9.41,817,2.85,0
2026-01-12,AE-001,Crunchy Bites Chicken 6oz,Petco,9.53,781,2.85,0
2026-01-19,AE-001,Crunchy Bites Chicken 6oz,Petco,9.36,836,2.85,0
2026-01-26,AE-001,Crunchy Bites Chicken 6oz,Petco,9.51,859,2.85,0
2026-02-02,AE-001,Crunchy Bites Chicken 6oz,Petco,9.42,888,2.85,0
2026-02-09,AE-001,Crunchy Bites Chicken 6oz,Petco,9.46,920,2.85,0
2026-02-16,AE-001,Crunchy Bites Chicken 6oz,Petco,9.47,937,2.85,0
2026-02-23,AE-001,Crunchy Bites Chicken 6oz,Petco,9.47,823,2.85,0
2026-03-02,AE-001,Crunchy Bites Chicken 6oz,Petco,9.37,1003,2.85,0
2026-03-09,AE-001,Crunchy Bites Chicken 6oz,Petco,9.4,997,2.85,0
2026-03-16,AE-001,Crunchy Bites Chicken 6oz,Petco,9.48,995,2.85,0
2026-03-23,AE-001,Crunchy Bites Chicken 6oz,Petco,9.44,1075,2.85,0
2026-03-30,AE-001,Crunchy Bites Chicken 6oz,Petco,9.51,1029,2.85,0
2026-04-06,AE-001,Crunchy Bites Chicken 6oz,Petco,9.35,1028,2.85,0
2026-04-13,AE-001,Crunchy Bites Chicken 6oz,Petco,9.47,959,2.85,0
2026-04-20,AE-001,Crunchy Bites Chicken 6oz,Petco,9.43,1103,2.85,0
2026-04-27,AE-001,Crunchy Bites Chicken 6oz,Petco,8.5,1233,2.85,1
2026-05-04,AE-001,Crunchy Bites Chicken 6oz,Petco,9.35,946,2.85,0
2026-05-11,AE-001,Crunchy Bites Chicken 6oz,Petco,9.45,955,2.85,0
2026-05-18,AE-001,Crunchy Bites Chicken 6oz,Petco,9.52,978,2.85,0
2025-05-26,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.35,785,2.85,0
2025-06-02,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.41,877,2.85,0
2025-06-09,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.51,896,2.85,0
2025-06-16,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.39,788,2.85,0
2025-06-23,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.5,824,2.85,0
2025-06-30,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.52,853,2.85,0
2025-07-07,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.42,754,2.85,0
2025-07-14,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.38,718,2.85,0
2025-07-21,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.42,878,2.85,0
2025-07-28,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.52,815,2.85,0
2025-08-04,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.5,832,2.85,0
2025-08-11,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.42,776,2.85,0
2025-08-18,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.36,826,2.85,0
2025-08-25,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.47,747,2.85,0
2025-09-01,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.41,995,2.85,0
2025-09-08,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.46,876,2.85,0
2025-09-15,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.35,813,2.85,0
2025-09-22,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.43,821,2.85,0
2025-09-29,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.37,901,2.85,0
2025-10-06,AE-001,Crunchy Bites Chicken 6oz,PetSmart,7.55,1087,2.85,1
2025-10-13,AE-001,Crunchy Bites Chicken 6oz,PetSmart,5.66,1391,2.85,1
2025-10-20,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.47,830,2.85,0
2025-10-27,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.36,838,2.85,0
2025-11-03,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.51,1082,2.85,0
2025-11-10,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.4,1136,2.85,0
2025-11-17,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.4,1262,2.85,0
2025-11-24,AE-001,Crunchy Bites Chicken 6oz,PetSmart,7.55,1466,2.85,1
2025-12-01,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.38,1099,2.85,0
2025-12-08,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.42,1213,2.85,0
2025-12-15,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.49,1095,2.85,0
2025-12-22,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.41,1045,2.85,0
2025-12-29,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.5,1215,2.85,0
2026-01-05,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.48,710,2.85,0
2026-01-12,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.46,698,2.85,0
2026-01-19,AE-001,Crunchy Bites Chicken 6oz,PetSmart,5.66,1379,2.85,1
2026-01-26,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.37,800,2.85,0
2026-02-02,AE-001,Crunchy Bites Chicken 6oz,PetSmart,7.55,870,2.85,1
2026-02-09,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.51,672,2.85,0
2026-02-16,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.48,696,2.85,0
2026-02-23,AE-001,Crunchy Bites Chicken 6oz,PetSmart,6.61,1205,2.85,1
2026-03-02,AE-001,Crunchy Bites Chicken 6oz,PetSmart,5.66,1796,2.85,1
2026-03-09,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.39,772,2.85,0
2026-03-16,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.48,788,2.85,0
2026-03-23,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.37,909,2.85,0
2026-03-30,AE-001,Crunchy Bites Chicken 6oz,PetSmart,7.55,1018,2.85,1
2026-04-06,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.52,694,2.85,0
2026-04-13,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.46,866,2.85,0
2026-04-20,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.45,802,2.85,0
2026-04-27,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.49,827,2.85,0
2026-05-04,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.47,892,2.85,0
2026-05-11,AE-001,Crunchy Bites Chicken 6oz,PetSmart,9.44,848,2.85,0
2026-05-18,AE-001,Crunchy Bites Chicken 6oz,PetSmart,8.02,1032,2.85,1
2025-05-26,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.69,692,2.85,0
2025-06-02,AE-001,Crunchy Bites Chicken 6oz,Amazon,6.98,817,2.85,1
2025-06-09,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.76,684,2.85,0
2025-06-16,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.71,662,2.85,0
2025-06-23,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.71,698,2.85,0
2025-06-30,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.78,598,2.85,0
2025-07-07,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.7,692,2.85,0
2025-07-14,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.78,640,2.85,0
2025-07-21,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.71,644,2.85,0
2025-07-28,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.67,584,2.85,0
2025-08-04,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.71,692,2.85,0
2025-08-11,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.7,656,2.85,0
2025-08-18,AE-001,Crunchy Bites Chicken 6oz,Amazon,6.98,1011,2.85,1
2025-08-25,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.79,571,2.85,0
2025-09-01,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.75,729,2.85,0
2025-09-08,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.66,718,2.85,0
2025-09-15,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.69,639,2.85,0
2025-09-22,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.68,703,2.85,0
2025-09-29,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.71,718,2.85,0
2025-10-06,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.64,640,2.85,0
2025-10-13,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.67,818,2.85,0
2025-10-20,AE-001,Crunchy Bites Chicken 6oz,Amazon,7.85,846,2.85,1
2025-10-27,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.67,725,2.85,0
2025-11-03,AE-001,Crunchy Bites Chicken 6oz,Amazon,6.1,1438,2.85,1
2025-11-10,AE-001,Crunchy Bites Chicken 6oz,Amazon,7.41,1065,2.85,1
2025-11-17,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.74,943,2.85,0
2025-11-24,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.76,937,2.85,0
2025-12-01,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.73,890,2.85,0
2025-12-08,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.73,996,2.85,0
2025-12-15,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.67,904,2.85,0
2025-12-22,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.78,936,2.85,0
2025-12-29,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.75,1051,2.85,0
2026-01-05,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.77,575,2.85,0
2026-01-12,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.75,585,2.85,0
2026-01-19,AE-001,Crunchy Bites Chicken 6oz,Amazon,6.1,834,2.85,1
2026-01-26,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.65,678,2.85,0
2026-02-02,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.74,628,2.85,0
2026-02-09,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.76,526,2.85,0
2026-02-16,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.68,620,2.85,0
2026-02-23,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.71,542,2.85,0
2026-03-02,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.68,770,2.85,0
2026-03-09,AE-001,Crunchy Bites Chicken 6oz,Amazon,6.98,808,2.85,1
2026-03-16,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.71,663,2.85,0
2026-03-23,AE-001,Crunchy Bites Chicken 6oz,Amazon,5.23,1237,2.85,1
2026-03-30,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.72,679,2.85,0
2026-04-06,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.74,739,2.85,0
2026-04-13,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.73,670,2.85,0
2026-04-20,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.7,706,2.85,0
2026-04-27,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.67,625,2.85,0
2026-05-04,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.64,731,2.85,0
2026-05-11,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.7,716,2.85,0
2026-05-18,AE-001,Crunchy Bites Chicken 6oz,Amazon,8.73,794,2.85,0
2025-05-26,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.17,385,2.85,0
2025-06-02,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.03,392,2.85,0
2025-06-09,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.11,377,2.85,0
2025-06-16,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.11,446,2.85,0
2025-06-23,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.12,391,2.85,0
2025-06-30,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.09,442,2.85,0
2025-07-07,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.14,389,2.85,0
2025-07-14,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.11,429,2.85,0
2025-07-21,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,9.98,432,2.85,0
2025-07-28,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.1,410,2.85,0
2025-08-04,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,9.99,434,2.85,0
2025-08-11,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.04,407,2.85,0
2025-08-18,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.02,417,2.85,0
2025-08-25,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.07,392,2.85,0
2025-09-01,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.11,460,2.85,0
2025-09-08,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,9.99,482,2.85,0
2025-09-15,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.08,387,2.85,0
2025-09-22,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.13,448,2.85,0
2025-09-29,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.15,411,2.85,0
2025-10-06,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.08,472,2.85,0
2025-10-13,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.16,471,2.85,0
2025-10-20,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.02,467,2.85,0
2025-10-27,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.02,414,2.85,0
2025-11-03,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.11,570,2.85,0
2025-11-10,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,9.98,579,2.85,0
2025-11-17,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,9.98,627,2.85,0
2025-11-24,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.02,603,2.85,0
2025-12-01,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.01,528,2.85,0
2025-12-08,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.01,611,2.85,0
2025-12-15,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,9.98,622,2.85,0
2025-12-22,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.09,632,2.85,0
2025-12-29,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.06,493,2.85,0
2026-01-05,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.05,365,2.85,0
2026-01-12,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.09,406,2.85,0
2026-01-19,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.12,363,2.85,0
2026-01-26,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.11,365,2.85,0
2026-02-02,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.09,421,2.85,0
2026-02-09,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.09,377,2.85,0
2026-02-16,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.0,343,2.85,0
2026-02-23,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.17,364,2.85,0
2026-03-02,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.13,474,2.85,0
2026-03-09,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.03,434,2.85,0
2026-03-16,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.0,408,2.85,0
2026-03-23,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.05,463,2.85,0
2026-03-30,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,9.98,469,2.85,0
2026-04-06,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.12,453,2.85,0
2026-04-13,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.14,509,2.85,0
2026-04-20,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,9.98,448,2.85,0
2026-04-27,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.09,403,2.85,0
2026-05-04,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.02,446,2.85,0
2026-05-11,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,10.03,476,2.85,0
2026-05-18,AE-001,Crunchy Bites Chicken 6oz,Independent Pet,7.05,639,2.85,1
2025-05-26,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.94,1292,2.95,0
2025-06-02,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.92,1267,2.95,0
2025-06-09,AE-002,Crunchy Bites Beef 6oz,Chewy.com,9.06,1101,2.95,0
2025-06-16,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.99,1170,2.95,0
2025-06-23,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.99,1134,2.95,0
2025-06-30,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.94,1346,2.95,0
2025-07-07,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.97,1264,2.95,0
2025-07-14,AE-002,Crunchy Bites Beef 6oz,Chewy.com,9.06,1101,2.95,0
2025-07-21,AE-002,Crunchy Bites Beef 6oz,Chewy.com,9.04,971,2.95,0
2025-07-28,AE-002,Crunchy Bites Beef 6oz,Chewy.com,9.05,1267,2.95,0
2025-08-04,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.95,878,2.95,0
2025-08-11,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.93,999,2.95,0
2025-08-18,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.96,1064,2.95,0
2025-08-25,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.96,1139,2.95,0
2025-09-01,AE-002,Crunchy Bites Beef 6oz,Chewy.com,9.03,1164,2.95,0
2025-09-08,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.91,1219,2.95,0
2025-09-15,AE-002,Crunchy Bites Beef 6oz,Chewy.com,9.03,1267,2.95,0
2025-09-22,AE-002,Crunchy Bites Beef 6oz,Chewy.com,9.05,1139,2.95,0
2025-09-29,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.99,1355,2.95,0
2025-10-06,AE-002,Crunchy Bites Beef 6oz,Chewy.com,9.06,1256,2.95,0
2025-10-13,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.98,1137,2.95,0
2025-10-20,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.97,1231,2.95,0
2025-10-27,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.93,997,2.95,0
2025-11-03,AE-002,Crunchy Bites Beef 6oz,Chewy.com,9.02,1745,2.95,0
2025-11-10,AE-002,Crunchy Bites Beef 6oz,Chewy.com,9.05,1831,2.95,0
2025-11-17,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.96,1481,2.95,0
2025-11-24,AE-002,Crunchy Bites Beef 6oz,Chewy.com,9.04,1703,2.95,0
2025-12-01,AE-002,Crunchy Bites Beef 6oz,Chewy.com,6.29,2651,2.95,1
2025-12-08,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.95,1712,2.95,0
2025-12-15,AE-002,Crunchy Bites Beef 6oz,Chewy.com,9.04,1742,2.95,0
2025-12-22,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.92,1773,2.95,0
2025-12-29,AE-002,Crunchy Bites Beef 6oz,Chewy.com,7.64,2223,2.95,1
2026-01-05,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.95,1043,2.95,0
2026-01-12,AE-002,Crunchy Bites Beef 6oz,Chewy.com,9.0,1105,2.95,0
2026-01-19,AE-002,Crunchy Bites Beef 6oz,Chewy.com,8.93,1237,2.95,0
